"advc_uuid","federal_entity","municipality","id_type_property","id_region_conanp","certificate_number","advc_name","certification_year","validity","main_ecosystems","surface","has_overlap"
212,12,Malinaltepec,1,7,CONANP-173/2008,Área de Conservación Ecológica Paraje Montero,2008,"30","bosque de pino-encino, bosque mesófilo en cañadas, selva mediana subcaducifolia",667.853,0
213,12,San Luis Acatlán,1,7,CONANP-175/2008,Área de Conservación Ecológica San José Vista Hermosa,2008,"30","bosque de pino-encino, bosque mesófilo, bosque de galería, selva mediana subcaducifolia",459.51,0
214,20,Santa María Chimalapa,1,8,CONANP-183/2009,Zona de Uso Común I y Zona VIII,2009,"30","selva alta perennifolia, selva mediana subperennifolia",1264.8696,0
215,7,Maravilla Tenejapa,1,8,CONANP-189/2009,Área de Conservación La Caverna,2009,"15",selva alta perennifolia,1414.86,0
216,7,Las Margaritas,1,8,CONANP-190/2009,La Serranía,2009,"15",selva alta perennifolia,439.31,0
217,21,Hueyapan,2,5,CONANP-191/2009,Ozuma y Cuahuloma,2009,"15","bosque mesófilo de montaña, bosque de pino-encino",804.1703,0
218,20,San Juan Bautista Valle Nacional,1,8,CONANP-192/2010,Área de Conservación Cerro Mirador,2010,"20","bosque mesófilo, selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistema acuático",2500,0
219,12,Iguala de la Independencia,3,7,CONANP-193/2010,Parque Ecológico de Iguala,2010,"99",selva baja caducifolia,51.3639,0
220,20,San Juan Bautista Valle Nacional,1,8,CONANP-194/2010,Área de Conservación Montenegro,2010,"15","selva alta perennifolia, selva mediana subperennifolia, ecosistema cavernícola",800,0
221,20,San Juan Bautista Valle Nacional,1,8,CONANP-195/2010,Área de Conservación Paso Nuevo La Hamaca,2010,"20","selva alta perennifolia, selva mediana subperennifolia, ecosistema cavernícola",600,0
222,20,San Juan Guichicovi,1,8,CONANP-196/2010,"32 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",7.6294,0
223,20,San Juan Guichicovi,1,8,CONANP-197/2010,"79 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",6.0223,0
224,20,San Juan Guichicovi,1,8,CONANP-198/2010,"45 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",11.0017,0
225,20,San Juan Guichicovi,1,8,CONANP-199/2010,"53 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",5.3822,0
226,20,San Juan Guichicovi,1,8,CONANP-200/2010,"49 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",4.988,0
228,20,Santa María Jacatepec,1,8,CONANP-179/2009,Área de Conservación del Faisán Real del Ejido Rancho Faisán,2009,"15","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistema acuático",4208.695,0
229,20,San José Chiltepec,1,8,CONANP-180/2009,Área de Conservación de la Cicada y la Pata de Elefante del Ejido Leyes de Reforma,2009,"15","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistema acuático",2992.11,0
230,20,Santa María Jacatepec,1,8,CONANP-181/2009,Área de Conservación del Mazate del Ejido Cerro Concha,2009,"15","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistema acuático",1790.545,0
231,20,Santa María Jacatepec,1,8,CONANP-182/2009,Área de Conservación de la Cycada del Ejido Emiliano Zapata,2009,"15","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistema acuático",713.715,0
232,12,Malinaltepec,1,7,CONANP-184/2009,Área de Conservación Ecológica de San Miguel del Progreso,2009,"30","bosque de pino-encino, bosque mesófilo de montaña",277,0
233,12,Malinaltepec,1,7,CONANP-185/2009,Área de Conservación Ecológica de Colombia de Guadalupe,2009,"30","bosque de pino-encino, bosque mesófilo en cañadas, selva mediana subcaducifolia",631.189,0
234,12,Atlixtac,1,7,CONANP-186/2009,Área de Conservación Ecológica de San Lucas Teocuitlapa,2009,"30","bosque de encino, bosque de pino-encino, bosque alpino",1024,0
235,12,Alpoyeca,1,7,CONANP-187/2009,Área de Conservación Ecológica de Tecoyo,2009,"30","selva baja caducifolia, bosque de encino, bosque de galería",1025.7052,0
236,12,Atlamajalcingo del Monte,1,7,CONANP-188/2009,Área de Conservación Ecológica de Huehuetepec,2009,"30","bosque de encino, bosque de pino-encino",978.55,0
237,20,San Juan Guichicovi,1,8,CONANP-204/2010,"28 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",4.5101,0
238,20,San Juan Guichicovi,1,8,CONANP-205/2010,"73 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",3.033,0
239,20,San Juan Guichicovi,1,8,CONANP-206/2010,"62 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",8.2021,0
240,20,San Juan Guichicovi,1,8,CONANP-207/2010,"55 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",7.3966,0
241,20,San Juan Guichicovi,1,8,CONANP-208/2010,"23 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",10.619,0
242,20,San Juan Guichicovi,1,8,CONANP-209/2010,"24 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",4.0672,0
244,20,San Juan Guichicovi,1,8,CONANP-211/2010,"58 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",6.0623,0
245,20,San Juan Guichicovi,1,8,CONANP-212/2010,"61 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",11.2153,0
246,20,San Juan Guichicovi,1,8,CONANP-213/2010,"1 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",6.865953,0
247,20,San Juan Guichicovi,1,8,CONANP-214/2010,"7 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",9.5377,0
248,20,San Juan Bautista Valle Nacional,1,8,CONANP-215/2010,Área de Conservación Nopalera del Rosario,2010,"25","galería riparia, bosque mesófilo de montaña, bosque de pino-encino, bosque alpino",4200,0
249,20,San Juan Mazatlán,3,8,CONANP-216/2010,Rancho Emanuel,2010,"99","selva alta perennifolia, selva mediana subperennifolia",12.1153,0
251,7,Marqués de Comillas,1,8,CONANP-218/2010,Reserva Las Guacamayas,2010,"99",selva alta perennifolia,1454.134211,0
252,20,San Miguel Chimalapa,1,8,CONANP-219/2010,El Cordón del Retén,2010,"30","selva baja caducifolia, selva mediana subcaducifolia, selva mediana subperennifolia, sabana de pino-encino, bosque de pino-encino, bosque mesófilo, bosque de pino",51781.94,0
253,20,San Juan Guichicovi,1,8,CONANP-220/2010,"424 Z-4 P 1/1",2010,"15",selva alta perennifolia,16.003519,0
254,20,San Andrés Ixtlahuaca,1,8,CONANP-221/2010,La Capitana,2010,"25","bosque de pino-encino, bosque de pino, selva baja caducifolia",958.44,0
255,20,San Juan Bautista Valle Nacional,1,8,CONANP-222/2010,Área de Conservación San Felipe de León,2010,"15","selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña, bosque de pino-encino",3500,0
256,20,Asunción Ixtaltepec,1,8,CONANP-223/2010,"70 Z-1 P 1/1",2010,"15",selva mediana subcaducifolia,36.073447,0
257,20,San Juan Guichicovi,1,8,CONANP-224/2010,"Zonas de Uso Común I,II,III y IV",2010,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia",1402.16651,0
258,20,Santa María Chimalapa,1,8,CONANP-225/2010,Parcela 128 Z-1 P 1/2,2010,"15","selva alta perennifolia, selva mediana subperennifolia",17.115138,0
259,20,Santa María Chimalapa,1,8,CONANP-226/2010,Parcela 129 Z-1 P 1/2,2010,"15","selva alta perennifolia, selva mediana subperennifolia",62.096304,0
260,20,San Juan Guichicovi,1,8,CONANP-227/2010,"38 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",15.6332,0
261,20,San Juan Guichicovi,1,8,CONANP-228/2010,"30 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",5.899,0
262,20,San Juan Guichicovi,1,8,CONANP-229/2010,"5 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",17.851484,0
263,20,San Juan Guichicovi,1,8,CONANP-230/2010,"37 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",6.8295,0
268,30,Coatepec,3,5,CONANP-235/2010,Selva Nueva y El Jaguar,2010,"20",bosque mesófilo de montaña ,5.878207,0
269,23,Othón P. Blanco,3,9,CONANP-236/2010,Huub'Sak,2010,"99","selva mediana/alta subperennifolia, manglar",50,0
270,29,Tlaxco,3,7,CONANP-237/2010,Área Natural Protegida del Bicentenario El Pilón,2010,"15","bosque alpino de abies, bosque de pino encino",237.6,0
271,29,Tlaxco,3,7,CONANP-238/2010,"Área Natural Protegida del Bicentenario Fracción Exhacienda Tlacotla, Lote Seis",2010,"15","bosque alpino de abies, bosque de pino encino",40.3707,0
272,29,Tlaxco,3,7,CONANP-239/2010,Área Natural Protegida del Bicentenario Fracción Uno de San José El Manantial,2010,"15","bosque alpino de abies, bosque de pino encino",41.9391,0
273,29,Nanacamilpa de Mariano Arista,3,7,CONANP-240/2010,Área Natural Protegida del Bicentenario Santa Clara El Corte,2010,"15","bosque alpino de abies, bosque de pino encino",30,0
274,29,Nanacamilpa de Mariano Arista,3,7,CONANP-241/2010,Área Natural Protegida del Bicentenario Santa Clara El Corte,2010,"15","bosque alpino de abies, bosque de pino encino",32.17,0
275,29,Tlaxco,3,7,CONANP-242/2010,Área Natural Protegida del Bicentenario Fracción II San Isidro Rancho Nuevo,2010,"15","bosque alpino de abies, bosque de pino encino",137.8,0
276,29,Tlaxco,3,7,CONANP-245/2010,"Área Natural Protegida del Bicentenario Fracción Uno de la Exhacienda de Tlacotla, Rancho El Pardo",2010,"15","bosque alpino de abies, bosque de pino encino",98.375,0
277,29,Altzayanca,3,7,CONANP-246/2010,"Área Natural Protegida del Bicentenario Conjunto Predial El Tecajete, Las Águilas y Santo Tomas",2010,"15","bosque de pino encino (relictos), matorral xerófilo de altura",460,0
278,20,San Felipe Usila,1,8,CONANP-247/2010,Área de Conservación San Antonio Analco,2010,"20","bosque de pino-encino, selva alta perennifolia, selva mediana subperennifolia, galería riparia, bosque mesófilo de montaña",2050,0
279,12,Alpoyeca,1,7,CONANP-248/2011,Área de Conservación Ecológica de San José Buenavista,2011,"50",bosque de encino y selva baja caducifolia,358.5454,0
280,26,Ímuris,3,2,CONANP-250/2011,Rancho El Aribabi Fracción A,2011,"15","matorral xerófilo de mezquite/sahuaro/nopal, pastizal con yuca, galerías de sauce/platanus, sabana de pino/encino/junípero, bosque de encino, bosque de pino-encino, vegetación acuática",3951,0
281,30,Ixhuatlán del Sureste,1,5,CONANP-251/2011,Parque Ecológico Tuzandepetl,2011,"50","selva alta/mediana perennifolia inundable, palmar, manglar de agua dulce, tular-popal, vegetación acuática, acahual",1047.19,0
282,20,San Juan Guichicovi,3,8,CONANP-252/2011,Pequeña Propiedad del Sr. Epifanio Francisco Pacheco,2011,"15","selva alta perennifolia, selva mediana subperennifolia",5.7041,0
283,20,San Juan Guichicovi,1,8,CONANP-253/2011,"34 Z-1 P1/1",2011,"15","selva alta perennifolia, selva mediana subperennifolia",5.924,0
284,20,San Juan Guichicovi,1,8,CONANP-254/2011,"44 Z-1 P1/1",2011,"15","selva alta perennifolia, selva mediana subperennifolia",4.8453,0
285,12,Alcozauca,1,7,CONANP-255/2011,Área de Conservación Ecológica San Vicente Zoyatlan,2011,"30","bosque de encino, bosque de pino-encino, bosque mesófilo en galería",3913.18,0
286,12,Malinaltepec,1,7,CONANP-256/2011,Área de Conservación Ecológica de Santa Cruz del Rincón,2011,"30","bosque de pino-encino, bosque mesófilo, relictos selva mediana subcaducifolia ",2379.86,0
287,12,San Luis Acatlán,1,7,CONANP-257/2011,Área de Conservación Ecológica de Pueblo Hidalgo,2011,"30","bosque de pino-encino, bosque mesófilo, selva mediana subcaducifolia, selva baja caducifolia",7907.64,0
288,12,Acatepec,1,7,CONANP-258/2011,Área de Conservación Ecológica de Acatepec,2011,"30","bosque de pino-encino, bosque mesófilo, selva mediana subcaducifolia, selva baja caducifolia",12655.7054,0
289,12,Metlatonoc,1,7,CONANP-259/2011,Área de Conservación Ecológica de Zitlaltepec,2011,"30","bosque de encino, bosque de pino-encino",2648.89,0
290,31,Temozón,3,9,CONANP-260/2011,Centro de Educación Ambiental Finca San Luis,2011,"15",selva mediana subcaducifolia ,14.049018,0
291,12,Tlacoapa,1,7,CONANP-261/2011,Área de Conservación Ecológica de Totomixtlahuaca,2011,"30","bosque de pino-encino, bosque mesófilo, selva mediana subcaducifolia, selva baja caducifolia",4160.8735,0
292,11,San Miguel de Allende,3,6,CONANP-262/2011,Santuario Cañada de la Virgen,2011,"99","matorral desértico crasicaule, pradera, chaparral de encino, selva baja caducifolia, bosque en galería",5001,0
293,12,Ometepec,1,7,CONANP-263/2011,Barranca Honda 3,2011,"99",selva mediana subcaducifolia,1,0
294,12,Ometepec,1,7,CONANP-264/2011,Arroyo Mamey,2011,"99",selva mediana subcaducifolia,1,0
295,12,Ometepec,1,7,CONANP-265/2011,Paraje ,2011,"99",selva mediana subcaducifolia,1,0
296,12,Ometepec,1,7,CONANP-266/2011,El Zapote ,2011,"99",selva mediana subcaducifolia,7.196741,0
297,12,Ometepec,1,7,CONANP-267/2011,La Piedra Boluda,2011,"99",selva mediana subcaducifolia,15,0
298,12,Ometepec,1,7,CONANP-268/2011,El Ciruelo,2011,"99",selva mediana subcaducifolia,1,0
299,12,Ometepec,1,7,CONANP-269/2011,Cerro Zanate,2011,"99",selva mediana subcaducifolia,1,0
300,12,Ometepec,1,7,CONANP-270/2011,El Limón 2,2011,"99",selva mediana subcaducifolia,1,0
301,12,Ometepec,1,7,CONANP-271/2011,El Sepudo 2,2011,"99",selva mediana subcaducifolia,1,0
302,12,Ometepec,1,7,CONANP-272/2011,Barranca Honda 2,2011,"99",selva mediana subcaducifolia,1,0
303,12,Ometepec,1,7,CONANP-273/2011,Los Limos,2011,"99",selva mediana subcaducifolia,4,0
304,12,Ometepec,1,7,CONANP-274/2011,La Vainilla,2011,"99",selva mediana subcaducifolia,1,0
305,12,Ometepec,1,7,CONANP-275/2011,Toncano,2011,"99",selva mediana subcaducifolia,1,0
306,12,Ometepec,1,7,CONANP-276/2011,La Vainilla 2,2011,"99",selva mediana subcaducifolia,1,0
384,20,Ixpantepec Nieves,1,8,CONANP-364/2014,Sáta Sííka,2014,"15","selva baja caducifolia, bosque de encino",91.1548,0
307,12,Mochitlán,3,7,CONANP-277/2011,Área de Conservación Agua de Obispo,2011,"99","selva mediana subcaducifolia, bosque de pino encino, bosque de encino, bosque mesófilo",220,0
308,12,Ometepec,1,7,CONANP-278/2011,Tierra Perdida,2011,"99",selva mediana subcaducifolia,1,0
309,12,Ometepec,1,7,CONANP-279/2011,Cerro del Naranjo 2,2011,"99",selva mediana subcaducifolia,2,0
310,12,Ometepec,1,7,CONANP-280/2011,Arroyo Miel,2011,"99",selva mediana subcaducifolia,1,0
311,12,Ometepec,1,7,CONANP-281/2011,Arroyo Choco,2011,"99",selva mediana subcaducifolia,1,0
312,12,Ometepec,1,7,CONANP-282/2011,El Sepudo 3,2011,"99",selva mediana subcaducifolia,3.275005,0
313,12,Ometepec,1,7,CONANP-283/2011,El Pantano 2,2011,"99",selva mediana subcaducifolia,1,0
314,12,Ometepec,1,7,CONANP-284/2011,El Sepudo 4,2011,"99",selva mediana subcaducifolia,4.178316,0
315,12,Ometepec,1,7,CONANP-285/2011,Tres Cerros 2,2011,"99",selva mediana subcaducifolia,1,0
316,12,Ometepec,1,7,CONANP-286/2011,El Camalote 2,2011,"99",selva mediana subcaducifolia,1.263889,0
317,12,Ometepec,1,7,CONANP-287/2011,El Palmar 2,2011,"99",selva mediana subcaducifolia,2,0
318,12,Ometepec,1,7,CONANP-288/2011,El Palmar  ,2011,"99",selva mediana subcaducifolia,4.647803,0
319,12,Ometepec,1,7,CONANP-289/2011,El Camalote  ,2011,"99",selva mediana subcaducifolia,2,0
320,12,Ometepec,1,7,CONANP-290/2011,"Cerro El Ocote, La Parcela y El Puma Rosa",2011,"99",selva mediana subcaducifolia,7,0
321,12,Ometepec,1,7,CONANP-291/2011,El Ceibo,2011,"99",selva mediana subcaducifolia,1,0
322,12,Ometepec,1,7,CONANP-292/2011,Cerro del Naranjo  ,2011,"99",selva mediana subcaducifolia,1,0
323,12,Ometepec,1,7,CONANP-293/2011,La Barrera,2011,"99",selva mediana subcaducifolia,2.720566,0
324,12,Ometepec,1,7,CONANP-294/2011,El Zorro,2011,"99",selva mediana subcaducifolia,1,0
325,12,Ometepec,1,7,CONANP-295/2011,Barranca Honda 1,2011,"99",selva mediana subcaducifolia,1,0
326,12,Ometepec,1,7,CONANP-298/2011,El Pantano  ,2011,"99",selva mediana subcaducifolia,7,0
327,12,Ometepec,1,7,CONANP-299/2011,Rincón del Limo,2011,"99",selva mediana subcaducifolia,2,0
328,12,Atoyac de Álvarez,3,7,CONANP-300/2011,Área de Conservación Cañada del Iris,2011,"99","bosque mesófilo de montaña, bosque de pino encino, bosque alpino, bosque de encino, selva mediana subcaducifolia",792,0
329,29,Tlaxco,3,7,CONANP-301/2011,Área Natural Protegida El Nacimiento,2011,"15","bosque alpino de abies, bosque de pino encino, pradera",204.453,0
330,20,San Pablo Villa de Mitla,1,8,CONANP-302/2011,El Campanario-Laacanloo Cruz,2011,"15","bosque de pino-encino, bosque de pino, selva baja caducifolia, matorral xerófilo, pastizal",4902.97,0
403,7,Ocozocoautla de Espinosa,3,8,CONANP-383/2015,Barranca Honda,2015,"15",selva alta perennifolia y bosque mesófilo de montaña,51.3493,0
331,20,San Pablo Villa de Mitla,1,8,CONANP-303/2011,El Fuerte,2011,"15","bosque de pino-encino, bosque de pino, selva baja caducifolia, matorral xerófilo, pastizal",988.12,0
332,29,Tlaxco,3,7,CONANP-304/2011,Área Natural Protegida al Final de La Senda,2011,"15","bosque alpino de abies, bosque de pino encino, pradera inducida",19.5897,0
333,29,Nanacamilpa de Mariano Arista,3,7,CONANP-306/2011,"Bosque Mágico de Piedra Canteada, Santuario de La Luciérnaga, Área Natural Protegida",2011,"15","bosque alpino de abies, bosque de pino encino",632.2768,0
334,12,Huamuxtitlán,1,7,CONANP-307/2012,Área de Conservación Ecológica de San Bartolomé Tlaquiltepec,2012,"30","selva baja caducifolia, bosque de encino, matorral gipsófilo, bosque en galería",1537.8,0
335,12,Cualac,1,7,CONANP-308/2012,Área de Conservación Ecológica de Cualac,2012,"30","selva baja caducifolia, sabana de encino, bosque en galería",6958.0449,0
336,12,Ometepec,1,7,CONANP-309/2012,Ojo de Agua,2012,"99","selva baja caducifolia, selva mediana subcaducifolia",2,0
337,12,Ometepec,1,7,CONANP-310/2012,Rumbo a Agua Fría,2012,"99","selva baja caducifolia, selva mediana subcaducifolia",2,0
338,12,Ometepec,1,7,CONANP-311/2012,Cerro de San Marcos,2012,"99","selva baja caducifolia, selva mediana subcaducifolia",2,0
339,12,Ometepec,1,7,CONANP-312/2012,El Camalote 3,2012,"99","selva baja caducifolia, selva mediana subcaducifolia",2,0
340,29,Nanacamilpa de Mariano Arista,3,7,CONANP-313/2012,Área Natural Protegida Santuario de La Luciernaga,2012,"15","bosque alpino de abies, bosque de pino encino",195,0
341,20,San Juan Guichicovi,3,8,CONANP-315/2012,Pequeña Propiedad de Melquiades Flores Francisco denominada El Mirador,2012,"15",selva alta perennifolia y selva mediana subcaducifolia,73.0179,0
342,26,Ímuris,3,2,CONANP-317/2012,El Aribabi Fracción B,2012,"15","matorral xerófilo de mezquite/sahuaro/nopal, pastizal con yuca, galerías de sauce/platanus, sabana de pino/encino/junípero, bosque de encino, bosque de pino-encino, vegetación acuática",3955.1836,0
343,26,Ímuris,3,2,CONANP-318/2012,Fracción C del Predio Rústico Los Güerigos ,2012,"15","matorral xerófilo de mezquite/sahuaro/nopal, pastizal con yuca, galerías de sauce/platanus, sabana de pino/encino/junípero, bosque de encino, bosque de pino-encino, vegetación acuática",2698.3764,0
344,26,Ímuris,3,2,CONANP-319/2012,"Predio Potrero de Los silos, Potrero Los Amorosos y Predio Los Vallecitos",2012,"15","matorral xerófilo de mezquite/sahuaro/nopal, pastizal con yuca, galerías de sauce/platanus, sabana de pino/encino/junípero, bosque de encino, bosque de pino-encino, vegetación acuática",2195.3832,0
345,19,General Zaragoza,1,4,CONANP-320/2012,Zona de Restauración Ecológica del Lobo Mexicano La Encantada,2012,"99","bosque alpino, bosque de pino, bosque de pino encino, bosque mesófilo, bosque de galería, chaparral, matorral desértico rosetófilo, matorral desértico micrófilo,pastizal inducido",7936.783642,0
346,19,General Zaragoza,1,4,CONANP-321/2012,Zona de Restauración Ecológica del Lobo Mexicano San Francisco,2012,"99","bosque alpino, bosque de pino, bosque de pino encino, chaparral, matorral desértico rosetófilo, matorral desértico micrófilo, pastizal inducido",3293.89213,0
347,20,Asunción Ixtaltepec,1,8,CONANP-322/2012,Parcela No 349 Z-1 P1/1,2012,"15","selva baja caducifolia, selva mediana subcaducifolia, sabana de pino-encino, bosque de pino-encino",395.599382,0
348,20,San Juan Guichicovi,3,8,CONANP-325/2012,Las Maravillas Lote 21,2012,"15",selva alta perennifolia,142.2,0
349,12,Huamuxtitlán,1,7,CONANP-326/2012,Área de Conservación Ecológica de Santa Cruz,2012,"30","selva baja caducifolia, bosque de encino, matorral gipsófilo",1014.890663,0
350,20,Tlaxiaco,3,8,CONANP-327/2012,Barranca del Ángel,2012,"15","bosque de pino-encino, bosque de pino",105,0
351,20,Santo Domingo Zanatepec,3,8,CONANP-328/2012,San José de Los Amates,2012,"15","pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero",17.0016,0
352,21,Chiautla de Tapia,3,7,CONANP-330/2012,El Campanario ,2012,"20","selva baja caducifolia, matorral espinoso",26,0
353,21,Zacatlán,3,5,CONANP-331/2012,Palos Caídos,2012,"50",bosque de pino-encino,33.0954,0
354,29,Nanacamilpa de Mariano Arista,3,7,CONANP-332/2012,Area Natural Protegida Cuarta Fracción de Santa Clara El Corte,2012,"15","bosque alpino de abies, bosque de pino encino",29,0
355,29,Nanacamilpa de Mariano Arista,3,7,CONANP-333/2012,Area Natural Protegida Segunda Fracción de Santa Clara El Corte,2012,"15","bosque alpino de abies, bosque de pino encino",28.08,0
356,29,Nanacamilpa de Mariano Arista,3,7,CONANP-334/2012,Area Natural Protegida Primera Fracción de Santa Clara El Corte,2012,"15","bosque alpino de abies, bosque de pino encino",28.22,0
357,29,Nanacamilpa de Mariano Arista,3,7,CONANP-335/2012,Area Natural Protegida Tercera Fracción de Santa Clara El Corte,2012,"15","bosque alpino de abies, bosque de pino encino",28.08,0
358,29,Tlaxco,3,7,CONANP-336/2012,Area Natural Protegida La Cruz,2012,"15",bosque alpino de abies,14.7263,0
359,12,Chilpancingo de los Bravo,1,7,CONANP-337/2012,"Área de Conservación, Protección y Desarrollo Silvopastoril Acahuizotla",2012,"99","selva baja caducifolia, selva mediana subcaducifolia, bosque mesófilo de montaña, bosque de pino encino, bosque de encino. ",1998.817312,0
360,14,La Huerta,3,6,*CONANP-323/2012,Reserva Natural Zafiro,2012,"50","selva baja caducifolia, selva mediana subcaducifolia, bosque en galería, manglar, vegetación acuática",280.480182,1
361,20,San Marcos Arteaga,1,8,CONANP-338/2012,Cerro de La Culebra,2012,"15","bosque de encino, palmar, selva baja caducifolia, matorral xerófilo",464,0
362,29,Terrenate,3,7,CONANP-339/2012,Área Natural Protegida Tenexac,2012,"15","bosque de pino encino (relictos), matorral",478.794,0
363,29,Tlaxco,3,7,CONANP-340/2012,Área Natural Protegida Fracción Cuatro de San José El Manantial,2012,"15","bosque alpino de abies, bosque de pino encino",41.9403,0
364,29,Tlaxco,3,7,CONANP-341/2012,Área Natural Protegida Fracción Número Cinco de San José El Manantial,2012,"15","bosque alpino de abies, bosque de pino encino",41.9346,0
365,29,Tlaxco,3,7,CONANP-342/2012,Área Natural Protegida Fracción Dos de San José El Manantial,2012,"15","bosque alpino de abies, bosque de pino encino",41.9472,0
366,20,Barrio de la Soledad,1,8,CONANP-343/2012,Área de Uso Común del Núcleo Agrario El Barrio de la Soledad,2012,"15","selva alta perennifolia, selva mediana perennifolia",3565.7984,0
367,20,San Juan Guichicovi,1,8,CONANP-344/2013,Tierras de Uso Común del Ejido San Juanito,2013,"15","selva alta perennifolia, selva mediana subperennifolia",324.739065,0
368,20,San Juan Guichicovi,1,8,CONANP-345/2013,Zona de Uso Común I y II,2013,"15","selva alta perennifolia, selva mediana subperennifolia",44.571502,0
369,3,Comondú,3,1,CONANP-346/2013,Reserva Ecológica Llanos de Magdalena,2013,"99","matorral xerófilo halófito, matorral xerófilo micrófilo, matorral xerófilo sarco-crasicaule, manglar",621.551945,0
370,3,La Paz,3,1,CONANP-347/2013,Reserva Natural El Portezuelo I,2013,"99","matorral xeroripario, matorral xerófilo sarcocrasicaule, oasis y manantiales",1323.04993,0
371,3,La Paz,3,1,CONANP-348/2013,Reserva Natural El Portezuelo II,2013,"99","matorral xeroripario, matorral xerófilo sarcocrasicaule, oasis y manantiales",925.705033,0
372,3,Loreto,3,1,CONANP-349/2013,Reserva Natural El Portezuelo III,2013,"99","matorral xeroripario, matorral xerófilo sarcocrasicaule, oasis y manantiales",384.667621,0
373,20,Santa María Tonameca,1,8,CONANP-350/2013,El Gavilán,2013,"15","selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",1130.46,0
374,26,Santa Cruz,3,2,CONANP-352/2013,Los Fresnos,2013,"99","pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero, ecosistemas acuáticos",3876.5447,0
375,31,Uayma,3,9,CONANP-353/2013,Ha'Bin,2013,"30","selva baja caducifolia, selva mediana subcaducifolia",90,0
376,29,Tlaxco,3,7,CONANP-354/2013,"Área Natural Protegida Primera Fracción, de la Fracción Dos del Predio Sin Construcción Denominado Ojo de Agua",2013,"15","bosque alpino de abies, bosque de pino encino",13.810686,0
377,31,Dzitas y Tinum,3,9,CONANP-355/2013,Kitam,2013,"30","selva baja caducifolia, selva mediana subcaducifolia",47.45,0
378,20,Tututepec de Melchor Ocampo,3,8,CONANP-358/2013,Dos Farallones (El Vigía),2013,"25","selva baja caducifolia, selva mediana subcaducifolia, comunidad costera, manglar, matorral xerófilo",108.99,0
379,29,Tlaxco,1,7,CONANP-359/2013,Área Natural Protegida Ejido El Rosario,2013,"15","bosque alpino de abies, bosque de pino-encino",1269.264055,0
380,2,Ensenada,3,1,CONANP-360/2013,Reserva Natural Valle Tranquilo,2013,"99",matorral rosetófilo costero,3691.204134,0
381,20,Villa Díaz Ordaz,1,8,CONANP-361/2013,Danii Idoo (Cerro Iglesia),2013,"15","bosque de pino, bosque de encino, matorral xerófilo, selva baja caducifolia",3148.44,0
382,20,San Juan Bautista Suchitepec,1,8,CONANP-362/2013,Siete Cumbres Guadalupe Cuautepec,2013,"15","bosque de encino, sabana de tascate, selva baja caducifolia, palmar de brahea, matorral xerófilo, bosque de galería",463.4676,0
383,29,Tlaxco,3,7,CONANP-363/2014,ANP Loma de Enmedio y Tetzitzilica,2014,"15","bosque alpino de abies, bosque de pino-encino",26.975342,0
385,3,La Paz,3,1,CONANP-365/2014,Reserva Natural El Portezuelo IV,2014,"99","matorral xeroripario, matorral xerófilo sarcocrasicaule, oasis y manantiales",2039.782189,0
